001-TIME,002-nPart-Spec-001
0.0000000000000000E+000,0.9420000000000000E+004
0.1000000000000000E-005,0.9420000000000000E+004
0.2000000000000000E-005,0.9420000000000000E+004
0.3000000000000000E-005,0.9420000000000000E+004
0.4000000000000000E-005,0.9421000000000000E+004
0.5000000000000000E-005,0.9420000000000000E+004
0.5999999999999999E-005,0.9420000000000000E+004
0.6999999999999999E-005,0.9420000000000000E+004
0.8000000000000000E-005,0.9420000000000000E+004
0.9000000000000000E-005,0.9420000000000000E+004
0.1000000000000000E-004,0.9417000000000000E+004
0.1100000000000000E-004,0.9417000000000000E+004
0.1200000000000000E-004,0.9416000000000000E+004
0.1300000000000000E-004,0.9416000000000000E+004
0.1400000000000000E-004,0.9415000000000000E+004
0.1500000000000000E-004,0.9415000000000000E+004
0.1600000000000000E-004,0.9415000000000000E+004
0.1700000000000000E-004,0.9415000000000000E+004
0.1800000000000000E-004,0.9414000000000000E+004
0.1900000000000000E-004,0.9414000000000000E+004
0.2000000000000001E-004,0.9415000000000000E+004
0.2100000000000001E-004,0.9415000000000000E+004
0.2200000000000001E-004,0.9415000000000000E+004
0.2300000000000001E-004,0.9415000000000000E+004
0.2400000000000001E-004,0.9416000000000000E+004
0.2500000000000001E-004,0.9416000000000000E+004
0.2600000000000001E-004,0.9416000000000000E+004
0.2700000000000001E-004,0.9416000000000000E+004
0.2800000000000001E-004,0.9416000000000000E+004
0.2900000000000001E-004,0.9414000000000000E+004
0.3000000000000001E-004,0.9414000000000000E+004
0.3100000000000001E-004,0.9414000000000000E+004
0.3200000000000001E-004,0.9415000000000000E+004
0.3300000000000000E-004,0.9416000000000000E+004
0.3400000000000000E-004,0.9416000000000000E+004
0.3500000000000000E-004,0.9416000000000000E+004
0.3599999999999999E-004,0.9416000000000000E+004
0.3699999999999999E-004,0.9416000000000000E+004
0.3799999999999999E-004,0.9416000000000000E+004
0.3899999999999999E-004,0.9415000000000000E+004
0.3999999999999998E-004,0.9416000000000000E+004
0.4099999999999998E-004,0.9417000000000000E+004
0.4199999999999998E-004,0.9418000000000000E+004
0.4299999999999997E-004,0.9418000000000000E+004
0.4399999999999997E-004,0.9418000000000000E+004
0.4499999999999997E-004,0.9418000000000000E+004
0.4599999999999997E-004,0.9418000000000000E+004
0.4699999999999996E-004,0.9418000000000000E+004
0.4799999999999996E-004,0.9418000000000000E+004
0.4899999999999996E-004,0.9418000000000000E+004
0.4999999999999995E-004,0.9418000000000000E+004
0.5099999999999995E-004,0.9418000000000000E+004
0.5199999999999995E-004,0.9415000000000000E+004
0.5299999999999995E-004,0.9415000000000000E+004
0.5399999999999994E-004,0.9415000000000000E+004
0.5499999999999994E-004,0.9416000000000000E+004
0.5599999999999994E-004,0.9416000000000000E+004
0.5699999999999994E-004,0.9416000000000000E+004
0.5799999999999993E-004,0.9417000000000000E+004
0.5899999999999993E-004,0.9417000000000000E+004
0.5999999999999993E-004,0.9417000000000000E+004
0.6099999999999992E-004,0.9417000000000000E+004
0.6199999999999992E-004,0.9417000000000000E+004
0.6299999999999992E-004,0.9418000000000000E+004
0.6399999999999992E-004,0.9418000000000000E+004
0.6499999999999991E-004,0.9418000000000000E+004
0.6599999999999991E-004,0.9418000000000000E+004
0.6699999999999991E-004,0.9418000000000000E+004
0.6799999999999990E-004,0.9417000000000000E+004
0.6899999999999990E-004,0.9417000000000000E+004
0.6999999999999990E-004,0.9415000000000000E+004
0.7099999999999990E-004,0.9413000000000000E+004
0.7199999999999989E-004,0.9413000000000000E+004
0.7299999999999989E-004,0.9413000000000000E+004
0.7399999999999989E-004,0.9413000000000000E+004
0.7499999999999989E-004,0.9413000000000000E+004
0.7599999999999988E-004,0.9412000000000000E+004
0.7699999999999988E-004,0.9412000000000000E+004
0.7799999999999988E-004,0.9412000000000000E+004
0.7899999999999987E-004,0.9413000000000000E+004
0.7999999999999987E-004,0.9411000000000000E+004
0.8099999999999987E-004,0.9411000000000000E+004
0.8199999999999987E-004,0.9410000000000000E+004
0.8299999999999986E-004,0.9409000000000000E+004
0.8399999999999986E-004,0.9410000000000000E+004
0.8499999999999986E-004,0.9410000000000000E+004
0.8599999999999985E-004,0.9410000000000000E+004
0.8699999999999985E-004,0.9411000000000000E+004
0.8799999999999985E-004,0.9411000000000000E+004
0.8899999999999985E-004,0.9411000000000000E+004
0.8999999999999984E-004,0.9411000000000000E+004
0.9099999999999984E-004,0.9411000000000000E+004
0.9199999999999984E-004,0.9411000000000000E+004
0.9299999999999983E-004,0.9411000000000000E+004
0.9399999999999983E-004,0.9410000000000000E+004
0.9499999999999983E-004,0.9411000000000000E+004
0.9599999999999983E-004,0.9411000000000000E+004
0.9699999999999982E-004,0.9412000000000000E+004
0.9799999999999982E-004,0.9412000000000000E+004
0.9899999999999982E-004,0.9412000000000000E+004
0.1000000000000000E-003,0.9413000000000000E+004
