001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003
0.00000000000000E+000,2.68665250000002E+025,0.00000000000000E+000,2.68665250000002E+025
9.99999999999999E-010,2.67542250000002E+025,1.06050000000001E+023,2.68602750000002E+025
2.00000000000000E-009,2.66823250000002E+025,1.77325000000002E+023,2.68596500000002E+025
3.00000000000002E-009,2.66313250000002E+025,2.29875000000002E+023,2.68612000000002E+025
4.00000000000002E-009,2.65857250000002E+025,2.76725000000002E+023,2.68624500000002E+025
5.00000000000000E-009,2.65436000000002E+025,3.20000000000003E+023,2.68636000000002E+025
5.99999999999997E-009,2.65077000000002E+025,3.55350000000003E+023,2.68630500000002E+025
6.99999999999995E-009,2.64692750000002E+025,3.89275000000003E+023,2.68585500000002E+025
7.99999999999992E-009,2.64434500000002E+025,4.24175000000004E+023,2.68676250000002E+025
8.99999999999990E-009,2.64118500000002E+025,4.53725000000004E+023,2.68655750000002E+025
1.00000000000000E-008,2.63880000000002E+025,4.83250000000004E+023,2.68712500000002E+025
1.10000000000000E-008,2.63586250000002E+025,5.08375000000005E+023,2.68670000000002E+025
1.20000000000000E-008,2.63379750000002E+025,5.35025000000005E+023,2.68730000000002E+025
1.29999999999999E-008,2.63057250000002E+025,5.62675000000005E+023,2.68684000000002E+025
1.39999999999999E-008,2.62847500000002E+025,5.87050000000005E+023,2.68718000000002E+025
1.49999999999999E-008,2.62589250000002E+025,6.09175000000006E+023,2.68681000000002E+025
1.60000000000000E-008,2.62333250000002E+025,6.35075000000006E+023,2.68684000000002E+025
1.70000000000002E-008,2.62132000000002E+025,6.57300000000006E+023,2.68705000000002E+025
1.80000000000003E-008,2.61922500000002E+025,6.78600000000006E+023,2.68708500000002E+025
1.90000000000005E-008,2.61695500000002E+025,6.98225000000006E+023,2.68677750000002E+025
2.00000000000000E-008,2.61488000000002E+025,7.20200000000006E+023,2.68690000000002E+025
2.10000000000001E-008,2.61271500000002E+025,7.41175000000007E+023,2.68683250000002E+025
2.20000000000003E-008,2.61132750000002E+025,7.60350000000007E+023,2.68736250000002E+025
2.30000000000004E-008,2.60938500000002E+025,7.83000000000007E+023,2.68768500000002E+025
2.40000000000006E-008,2.60792750000002E+025,8.04200000000007E+023,2.68834750000002E+025
2.50000000000007E-008,2.60583250000002E+025,8.20775000000007E+023,2.68791000000002E+025
2.60000000000008E-008,2.60406250000002E+025,8.37825000000007E+023,2.68784500000002E+025
2.70000000000010E-008,2.60284250000002E+025,8.54400000000008E+023,2.68828250000002E+025
2.80000000000011E-008,2.60158500000002E+025,8.71475000000008E+023,2.68873250000002E+025
2.90000000000013E-008,2.59955750000002E+025,8.87175000000008E+023,2.68827500000002E+025
3.00000000000000E-008,2.59840000000002E+025,9.05125000000008E+023,2.68891250000002E+025
3.09999999999998E-008,2.59578750000002E+025,9.21700000000008E+023,2.68795750000002E+025
3.19999999999996E-008,2.59421000000002E+025,9.40650000000008E+023,2.68827500000002E+025
3.29999999999994E-008,2.59300750000002E+025,9.56300000000008E+023,2.68863750000002E+025
3.39999999999992E-008,2.59077250000002E+025,9.72000000000009E+023,2.68797250000002E+025
3.49999999999991E-008,2.58947000000002E+025,9.88575000000009E+023,2.68832750000002E+025
3.59999999999989E-008,2.58758000000002E+025,1.00235000000001E+024,2.68781500000002E+025
3.69999999999987E-008,2.58576750000002E+025,1.01925000000001E+024,2.68769250000002E+025
3.79999999999985E-008,2.58397000000002E+025,1.03017500000001E+024,2.68698750000002E+025
3.89999999999983E-008,2.58261000000002E+025,1.04850000000001E+024,2.68746000000002E+025
4.00000000000000E-008,2.58161250000002E+025,1.06495000000001E+024,2.68810750000002E+025
