001-TIME,002-Massflow-Spec-001-SF-001,003-Pressure-Spec-001-SF-001,004-Massflow-Spec-001-SF-002,005-Pressure-Spec-001-SF-002
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.5000000000000000E-005,0.7477610425600000E-013,0.4970754893976260E+001,-.2129233734400001E-013,0.2639399569399952E+001
0.1000000000000000E-004,0.4376852694400013E-013,0.5084035356444570E+001,-.4482272931200012E-013,0.2571263038986332E+001
0.1500000000000000E-004,0.4241039123200002E-013,0.4983504135967654E+001,-.4523080764800000E-013,0.2570549579978157E+001
0.2000000000000000E-004,0.4772816204799920E-013,0.5068431425865561E+001,-.4528394284799921E-013,0.2516304401222617E+001
0.2499999999999999E-004,0.4166649843200003E-013,0.4954759460553283E+001,-.4417235446400001E-013,0.2549925327988054E+001
0.3000000000000000E-004,0.4515854377599739E-013,0.4996929639801362E+001,-.4203206860799756E-013,0.2625198721544424E+001
0.3499999999999999E-004,0.4462294096000000E-013,0.5183803175400553E+001,-.4410009059200000E-013,0.2606628090571610E+001
0.4000000000000000E-004,0.4630201327999762E-013,0.5119660533071672E+001,-.4692050700799757E-013,0.2497502087941249E+001
0.4499999999999999E-004,0.4172175904000002E-013,0.5121548728360188E+001,-.4647842214400000E-013,0.2479939091815085E+001
0.5000000000000000E-004,0.4507777827199764E-013,0.4981995448560597E+001,-.4525631254399767E-013,0.2484813283601566E+001
0.5499999999999999E-004,0.4344865303999995E-013,0.4750148158262571E+001,-.4280359171200001E-013,0.2451795009881932E+001
0.6000000000000000E-004,0.4066011774399788E-013,0.4949469650593784E+001,-.4341039569599777E-013,0.2568297889540754E+001
